"","Zona","Compound","date","nddd","poblacio"
"93","Carmel","Carbamazepine","201909",1876,26499
"94","Carmel","Carbamazepine","201910",1276,26499
"95","Carmel","Carbamazepine","201911",1466,26499
"96","Carmel","Carbamazepine","201912",1516,26499
"97","Carmel","Cefalexin","201901",49,26499
"98","Carmel","Cefalexin","201902",35,26499
"99","Carmel","Cefalexin","201903",56,26499
"100","Carmel","Cefalexin","201904",28,26499
"101","Carmel","Cefalexin","201905",63,26499
"102","Carmel","Cefalexin","201906",56,26499
"103","Carmel","Cefalexin","201907",28,26499
"104","Carmel","Cefalexin","201908",105,26499
"105","Carmel","Cefalexin","201909",35,26499
"106","Carmel","Cefalexin","201910",84,26499
"107","Carmel","Cefalexin","201911",14,26499
"108","Carmel","Cefalexin","201912",56,26499
"109","Carmel","Chlorpromazine","201902",12.51,26499
"110","Carmel","Chlorpromazine","201903",4.17,26499
"111","Carmel","Chlorpromazine","201904",4.17,26499
"112","Carmel","Chlorpromazine","201906",4.17,26499
"113","Carmel","Chlorpromazine","201909",4.17,26499
"114","Carmel","Ciprofloxacin","201901",749,26499
"115","Carmel","Ciprofloxacin","201902",616,26499
"116","Carmel","Ciprofloxacin","201903",616,26499
"117","Carmel","Ciprofloxacin","201904",780.5,26499
"118","Carmel","Ciprofloxacin","201905",875,26499
"119","Carmel","Ciprofloxacin","201906",822,26499
"120","Carmel","Ciprofloxacin","201907",941.5,26499
"121","Carmel","Ciprofloxacin","201908",801.5,26499
"122","Carmel","Ciprofloxacin","201909",686,26499
"123","Carmel","Ciprofloxacin","201910",955,26499
"124","Carmel","Ciprofloxacin","201911",1092,26499
"125","Carmel","Ciprofloxacin","201912",700,26499
"126","Carmel","Citalopram","201901",14490,26499
"127","Carmel","Citalopram","201902",11830,26499
"128","Carmel","Citalopram","201903",12768,26499
"129","Carmel","Citalopram","201904",14434,26499
"130","Carmel","Citalopram","201905",14686,26499
"131","Carmel","Citalopram","201906",12320,26499
"132","Carmel","Citalopram","201907",14980,26499
"133","Carmel","Citalopram","201908",11760,26499
"134","Carmel","Citalopram","201909",12908,26499
"135","Carmel","Citalopram","201910",15750,26499
"136","Carmel","Citalopram","201911",14742,26499
"137","Carmel","Citalopram","201912",14518,26499
"138","Carmel","Clarithromycin","201901",273,26499
"139","Carmel","Clarithromycin","201902",336,26499
"140","Carmel","Clarithromycin","201903",413,26499
"141","Carmel","Clarithromycin","201904",448,26499
"142","Carmel","Clarithromycin","201905",635,26499
"143","Carmel","Clarithromycin","201906",413,26499
"144","Carmel","Clarithromycin","201907",392,26499
"145","Carmel","Clarithromycin","201908",379,26499
"146","Carmel","Clarithromycin","201909",507,26499
"147","Carmel","Clarithromycin","201910",364,26499
"148","Carmel","Clarithromycin","201911",441,26499
"149","Carmel","Clarithromycin","201912",224,26499
"150","Carmel","Clindamycin","201901",249,26499
"151","Carmel","Clindamycin","201902",251,26499
"152","Carmel","Clindamycin","201903",129,26499
"153","Carmel","Clindamycin","201904",66,26499
"154","Carmel","Clindamycin","201905",93,26499
"155","Carmel","Clindamycin","201906",136,26499
"156","Carmel","Clindamycin","201907",187,26499
"157","Carmel","Clindamycin","201908",176,26499
"158","Carmel","Clindamycin","201909",234,26499
"159","Carmel","Clindamycin","201910",294,26499
"160","Carmel","Clindamycin","201911",237,26499
"161","Carmel","Clindamycin","201912",232,26499
"162","Carmel","Codeine","201901",598.36,26499
"163","Carmel","Codeine","201902",369.08,26499
"164","Carmel","Codeine","201903",316.88,26499
"165","Carmel","Codeine","201904",311.68,26499
"166","Carmel","Codeine","201905",273.48,26499
"167","Carmel","Codeine","201906",332.28,26499
"168","Carmel","Codeine","201907",241.28,26499
"169","Carmel","Codeine","201908",359.38,26499
"170","Carmel","Codeine","201909",348.68,26499
"171","Carmel","Codeine","201910",468.28,26499
"172","Carmel","Codeine","201911",464.48,26499
"173","Carmel","Codeine","201912",694.1,26499
"174","Carmel","Diazepam","201901",11232,26499
"175","Carmel","Diazepam","201902",10948,26499
"176","Carmel","Diazepam","201903",10920,26499
"177","Carmel","Diazepam","201904",11480,26499
"178","Carmel","Diazepam","201905",12338,26499
"179","Carmel","Diazepam","201906",9027,26499
"180","Carmel","Diazepam","201907",12691,26499
"181","Carmel","Diazepam","201908",9899,26499
"182","Carmel","Diazepam","201909",11246.5,26499
"183","Carmel","Diazepam","201910",14548,26499
"184","Carmel","Diazepam","201911",12209,26499
"185","Carmel","Diazepam","201912",11530,26499
"186","Carmel","Diclofenac","201901",2200,26499
"187","Carmel","Diclofenac","201902",2019,26499
"188","Carmel","Diclofenac","201903",2164,26499
"189","Carmel","Diclofenac","201904",2060,26499
"190","Carmel","Diclofenac","201905",2070,26499
"191","Carmel","Diclofenac","201906",2030,26499
"192","Carmel","Diclofenac","201907",1860,26499
"193","Carmel","Diclofenac","201908",1446.5,26499
"194","Carmel","Diclofenac","201909",1024,26499
"195","Carmel","Diclofenac","201910",2154,26499
"196","Carmel","Diclofenac","201911",2227.5,26499
"197","Carmel","Diclofenac","201912",1934.5,26499
"198","Carmel","Diltiazem","201901",5673.23,26499
"199","Carmel","Diltiazem","201902",5297.4,26499
"200","Carmel","Diltiazem","201903",5480.72,26499
"201","Carmel","Diltiazem","201904",5529.08,26499
"202","Carmel","Diltiazem","201905",5499.91,26499
"203","Carmel","Diltiazem","201906",5319.91,26499
"204","Carmel","Diltiazem","201907",6364.9,26499
"205","Carmel","Diltiazem","201908",4588.24,26499
"206","Carmel","Diltiazem","201909",4837.43,26499
"207","Carmel","Diltiazem","201910",6033.2,26499
"208","Carmel","Diltiazem","201911",5656.58,26499
"209","Carmel","Diltiazem","201912",5761.55,26499
"210","Carmel","Erythromycin","201901",15,26499
"211","Carmel","Erythromycin","201902",27.5,26499
"212","Carmel","Erythromycin","201903",22.5,26499
"213","Carmel","Erythromycin","201905",75,26499
"214","Carmel","Erythromycin","201906",30,26499
"215","Carmel","Erythromycin","201907",15,26499
"216","Carmel","Erythromycin","201910",30,26499
"217","Carmel","Erythromycin","201911",7.5,26499
"218","Carmel","Erythromycin","201912",15,26499
"219","Carmel","Fluoxetine","201901",10160,26499
"220","Carmel","Fluoxetine","201902",8572,26499
"221","Carmel","Fluoxetine","201903",9336,26499
"222","Carmel","Fluoxetine","201904",10344,26499
"223","Carmel","Fluoxetine","201905",10336,26499
"224","Carmel","Fluoxetine","201906",8296,26499
"225","Carmel","Fluoxetine","201907",11016,26499
"226","Carmel","Fluoxetine","201908",8428,26499
"227","Carmel","Fluoxetine","201909",10860,26499
"228","Carmel","Fluoxetine","201910",9444,26499
"229","Carmel","Fluoxetine","201911",11332,26499
"230","Carmel","Fluoxetine","201912",10316,26499
"231","Carmel","Furosemide","201901",31452.8,26499
"232","Carmel","Furosemide","201902",28640,26499
"233","Carmel","Furosemide","201903",28932.8,26499
"234","Carmel","Furosemide","201904",27492.8,26499
"235","Carmel","Furosemide","201905",31750,26499
"236","Carmel","Furosemide","201906",29202.8,26499
"237","Carmel","Furosemide","201907",34810,26499
"238","Carmel","Furosemide","201908",27942.8,26499
"239","Carmel","Furosemide","201909",28800,26499
"240","Carmel","Furosemide","201910",30902.8,26499
"241","Carmel","Furosemide","201911",29990,26499
"242","Carmel","Furosemide","201912",31302.8,26499
"243","Carmel","Gemfibrozil","201901",3045,26499
"244","Carmel","Gemfibrozil","201902",2250,26499
"245","Carmel","Gemfibrozil","201903",3142.5,26499
"246","Carmel","Gemfibrozil","201904",2692.5,26499
"247","Carmel","Gemfibrozil","201905",2767.5,26499
"248","Carmel","Gemfibrozil","201906",2227.5,26499
"249","Carmel","Gemfibrozil","201907",3150,26499
"250","Carmel","Gemfibrozil","201908",2655,26499
"251","Carmel","Gemfibrozil","201909",2422.5,26499
"252","Carmel","Gemfibrozil","201910",2632.5,26499
"253","Carmel","Gemfibrozil","201911",2932.5,26499
"254","Carmel","Gemfibrozil","201912",2887.5,26499
"255","Carmel","Hydrochlorothiazide","201901",86974,26499
"256","Carmel","Hydrochlorothiazide","201902",82962,26499
"257","Carmel","Hydrochlorothiazide","201903",83718,26499
"258","Carmel","Hydrochlorothiazide","201904",85144,26499
"259","Carmel","Hydrochlorothiazide","201905",89228,26499
"260","Carmel","Hydrochlorothiazide","201906",80592,26499
"261","Carmel","Hydrochlorothiazide","201907",94086,26499
"262","Carmel","Hydrochlorothiazide","201908",67004,26499
"263","Carmel","Hydrochlorothiazide","201909",79660,26499
"264","Carmel","Hydrochlorothiazide","201910",88902,26499
"265","Carmel","Hydrochlorothiazide","201911",82330,26499
"266","Carmel","Hydrochlorothiazide","201912",87670,26499
"267","Carmel","Hydroxyzine","201901",1362.73,26499
"268","Carmel","Hydroxyzine","201902",910.39,26499
"269","Carmel","Hydroxyzine","201903",1092.1,26499
"270","Carmel","Hydroxyzine","201904",935.03,26499
"271","Carmel","Hydroxyzine","201905",1123.39,26499
"272","Carmel","Hydroxyzine","201906",813.68,26499
"273","Carmel","Hydroxyzine","201907",938.4,26499
"274","Carmel","Hydroxyzine","201908",760.34,26499
"275","Carmel","Hydroxyzine","201909",805.06,26499
"276","Carmel","Hydroxyzine","201910",729.37,26499
"277","Carmel","Hydroxyzine","201911",894.74,26499
"278","Carmel","Hydroxyzine","201912",997.06,26499
"279","Carmel","Ibuprofen","201901",17813.76,26499
"280","Carmel","Ibuprofen","201902",14411.02,26499
"281","Carmel","Ibuprofen","201903",14074.6,26499
"282","Carmel","Ibuprofen","201904",14504.65,26499
"283","Carmel","Ibuprofen","201905",12091.23,26499
"284","Carmel","Ibuprofen","201906",12408.68,26499
"285","Carmel","Ibuprofen","201907",13314.71,26499
"286","Carmel","Ibuprofen","201908",10685.26,26499
"287","Carmel","Ibuprofen","201909",11558.39,26499
"288","Carmel","Ibuprofen","201910",15336.77,26499
"289","Carmel","Ibuprofen","201911",15504.41,26499
"290","Carmel","Ibuprofen","201912",15393.15,26499
"291","Carmel","Indomethacin","201901",580.5,26499
"292","Carmel","Indomethacin","201902",323.5,26499
"293","Carmel","Indomethacin","201903",413.5,26499
"294","Carmel","Indomethacin","201904",431,26499
"295","Carmel","Indomethacin","201905",400,26499
"296","Carmel","Indomethacin","201906",412,26499
"297","Carmel","Indomethacin","201907",352.5,26499
"298","Carmel","Indomethacin","201908",160,26499
"299","Carmel","Indomethacin","201909",449.5,26499
"300","Carmel","Indomethacin","201910",477.5,26499
"301","Carmel","Indomethacin","201911",283.5,26499
"302","Carmel","Indomethacin","201912",295.5,26499
"303","Carmel","Irbesartan","201901",4606,26499
"304","Carmel","Irbesartan","201902",3766,26499
"305","Carmel","Irbesartan","201903",4172,26499
"306","Carmel","Irbesartan","201904",3906,26499
"307","Carmel","Irbesartan","201905",3682,26499
"308","Carmel","Irbesartan","201906",3178,26499
"309","Carmel","Irbesartan","201907",3934,26499
"310","Carmel","Irbesartan","201908",2618,26499
"311","Carmel","Irbesartan","201909",3500,26499
"312","Carmel","Irbesartan","201910",4088,26499
"313","Carmel","Irbesartan","201911",3584,26499
"314","Carmel","Irbesartan","201912",4522,26499
"315","Carmel","Ketoprofen","201903",26.66,26499
"316","Carmel","Ketoprofen","201912",26.66,26499
"317","Carmel","Lorazepam","201901",20136,26499
"318","Carmel","Lorazepam","201902",17616,26499
"319","Carmel","Lorazepam","201903",17566,26499
"320","Carmel","Lorazepam","201904",19546,26499
"321","Carmel","Lorazepam","201905",18836,26499
"322","Carmel","Lorazepam","201906",17740,26499
"323","Carmel","Lorazepam","201907",19036,26499
"324","Carmel","Lorazepam","201908",16410,26499
"325","Carmel","Lorazepam","201909",18170,26499
"326","Carmel","Lorazepam","201910",18000,26499
"327","Carmel","Lorazepam","201911",18706,26499
"328","Carmel","Lorazepam","201912",17206,26499
"329","Carmel","Lormetazepam","201901",19820,26499
"330","Carmel","Lormetazepam","201902",18390,26499
"331","Carmel","Lormetazepam","201903",18030,26499
"332","Carmel","Lormetazepam","201904",18870,26499
"333","Carmel","Lormetazepam","201905",20340,26499
"334","Carmel","Lormetazepam","201906",17400,26499
"335","Carmel","Lormetazepam","201907",19970,26499
"336","Carmel","Lormetazepam","201908",16900,26499
"337","Carmel","Lormetazepam","201909",18030,26499
"338","Carmel","Lormetazepam","201910",20690,26499
"339","Carmel","Lormetazepam","201911",19740,26499
"340","Carmel","Lormetazepam","201912",21380,26499
"341","Carmel","Losartan","201901",76153,26499
"342","Carmel","Losartan","201902",64368.5,26499
"343","Carmel","Losartan","201903",71333.5,26499
"344","Carmel","Losartan","201904",72327.5,26499
"345","Carmel","Losartan","201905",74401.25,26499
"346","Carmel","Losartan","201906",66155.25,26499
"347","Carmel","Losartan","201907",80815,26499
"348","Carmel","Losartan","201908",54715.5,26499
"349","Carmel","Losartan","201909",69903.75,26499
"350","Carmel","Losartan","201910",76496,26499
"351","Carmel","Losartan","201911",70423.5,26499
"352","Carmel","Losartan","201912",73874.5,26499
"353","Carmel","Meloxicam","201901",100,26499
"354","Carmel","Meloxicam","201902",370,26499
"355","Carmel","Meloxicam","201903",190,26499
"356","Carmel","Meloxicam","201904",230,26499
"357","Carmel","Meloxicam","201905",440,26499
"358","Carmel","Meloxicam","201906",190,26499
"359","Carmel","Meloxicam","201907",200,26499
"360","Carmel","Meloxicam","201909",200,26499
"361","Carmel","Meloxicam","201910",200,26499
"362","Carmel","Meloxicam","201911",150,26499
"363","Carmel","Meloxicam","201912",220,26499
"364","Carmel","Metoprolol","201901",428.18,26499
"365","Carmel","Metoprolol","201902",195.84,26499
"366","Carmel","Metoprolol","201903",251.18,26499
"367","Carmel","Metoprolol","201904",302.52,26499
"368","Carmel","Metoprolol","201905",293.02,26499
"369","Carmel","Metoprolol","201906",268.18,26499
"370","Carmel","Metoprolol","201907",293.02,26499
"371","Carmel","Metoprolol","201908",308.36,26499
"372","Carmel","Metoprolol","201909",418.7,26499
"373","Carmel","Metoprolol","201910",321.52,26499
"374","Carmel","Metoprolol","201911",355.86,26499
"375","Carmel","Metoprolol","201912",293.02,26499
"376","Carmel","Metronidazole","201901",49.97,26499
"377","Carmel","Metronidazole","201902",124.94,26499
"378","Carmel","Metronidazole","201903",96.53,26499
"379","Carmel","Metronidazole","201904",96.55,26499
"380","Carmel","Metronidazole","201905",153.65,26499
"381","Carmel","Metronidazole","201906",163.43,26499
"382","Carmel","Metronidazole","201907",187.69,26499
"383","Carmel","Metronidazole","201908",75.88,26499
"384","Carmel","Metronidazole","201909",95.03,26499
"385","Carmel","Metronidazole","201910",90.53,26499
"386","Carmel","Metronidazole","201911",165.02,26499
"387","Carmel","Metronidazole","201912",92.27,26499
"388","Carmel","Midazolam","201901",70.68,26499
"389","Carmel","Midazolam","201902",60,26499
"390","Carmel","Midazolam","201903",20,26499
"391","Carmel","Midazolam","201904",105.34,26499
"392","Carmel","Midazolam","201905",110,26499
"393","Carmel","Midazolam","201906",60,26499
"394","Carmel","Midazolam","201907",74.03,26499
"395","Carmel","Midazolam","201908",12.67,26499
"396","Carmel","Midazolam","201909",10,26499
"397","Carmel","Midazolam","201910",10,26499
"398","Carmel","Midazolam","201911",80,26499
"399","Carmel","Midazolam","201912",2.67,26499
"400","Carmel","Morphine","201901",625.2,26499
"401","Carmel","Morphine","201902",307.6,26499
"402","Carmel","Morphine","201903",366.8,26499
"403","Carmel","Morphine","201904",196.4,26499
"404","Carmel","Morphine","201905",394,26499
"405","Carmel","Morphine","201906",93.6,26499
"406","Carmel","Morphine","201907",158.8,26499
"407","Carmel","Morphine","201908",130.8,26499
"408","Carmel","Morphine","201909",66,26499
"409","Carmel","Morphine","201910",231.2,26499
"410","Carmel","Morphine","201911",56.4,26499
"411","Carmel","Morphine","201912",255.93,26499
"412","Carmel","Naproxen","201901",14040,26499
"413","Carmel","Naproxen","201902",12274,26499
"414","Carmel","Naproxen","201903",13452,26499
"415","Carmel","Naproxen","201904",12256,26499
"416","Carmel","Naproxen","201905",15093,26499
"417","Carmel","Naproxen","201906",14495,26499
"418","Carmel","Naproxen","201907",15471,26499
"419","Carmel","Naproxen","201908",10375,26499
"420","Carmel","Naproxen","201909",12940,26499
"421","Carmel","Naproxen","201910",14243,26499
"422","Carmel","Naproxen","201911",14878,26499
"423","Carmel","Naproxen","201912",13029,26499
"424","Carmel","Ofloxacin","201907",28,26499
"425","Carmel","Paroxetine","201901",13623,26499
"426","Carmel","Paroxetine","201902",14161,26499
"427","Carmel","Paroxetine","201903",13539,26499
"428","Carmel","Paroxetine","201904",15451,26499
"429","Carmel","Paroxetine","201905",13649,26499
"430","Carmel","Paroxetine","201906",13325,26499
"431","Carmel","Paroxetine","201907",15000,26499
"432","Carmel","Paroxetine","201908",12254,26499
"433","Carmel","Paroxetine","201909",13834,26499
"434","Carmel","Paroxetine","201910",14767,26499
"435","Carmel","Paroxetine","201911",14238,26499
"436","Carmel","Paroxetine","201912",12651,26499
"437","Carmel","Pravastatin","201901",6019.81,26499
"438","Carmel","Pravastatin","201902",5191.88,26499
"439","Carmel","Pravastatin","201903",5131.97,26499
"440","Carmel","Pravastatin","201904",5966.56,26499
"441","Carmel","Pravastatin","201905",6321.26,26499
"442","Carmel","Pravastatin","201906",5051.96,26499
"443","Carmel","Pravastatin","201907",6153.28,26499
"444","Carmel","Pravastatin","201908",4072.02,26499
"445","Carmel","Pravastatin","201909",4771.95,26499
"446","Carmel","Pravastatin","201910",6582.59,26499
"447","Carmel","Pravastatin","201911",5042.63,26499
"448","Carmel","Pravastatin","201912",6424,26499
"449","Carmel","Propranolol","201901",1472.33,26499
"450","Carmel","Propranolol","201902",1450.38,26499
"451","Carmel","Propranolol","201903",1491.11,26499
"452","Carmel","Propranolol","201904",1575.54,26499
"453","Carmel","Propranolol","201905",1653.67,26499
"454","Carmel","Propranolol","201906",1509.81,26499
"455","Carmel","Propranolol","201907",1478.63,26499
"456","Carmel","Propranolol","201908",1347.21,26499
"457","Carmel","Propranolol","201909",1684.93,26499
"458","Carmel","Propranolol","201910",1538,26499
"459","Carmel","Propranolol","201911",1369.34,26499
"460","Carmel","Propranolol","201912",1684.93,26499
"461","Carmel","Ranitidine","201901",4564,26499
"462","Carmel","Ranitidine","201902",3640,26499
"463","Carmel","Ranitidine","201903",4438,26499
"464","Carmel","Ranitidine","201904",4340,26499
"465","Carmel","Ranitidine","201905",4522,26499
"466","Carmel","Ranitidine","201906",4088,26499
"467","Carmel","Ranitidine","201907",4312,26499
"468","Carmel","Ranitidine","201908",3514,26499
"469","Carmel","Ranitidine","201909",4088,26499
"470","Carmel","Ranitidine","201910",392,26499
"471","Carmel","Sertraline","201901",23400,26499
"472","Carmel","Sertraline","201902",21300,26499
"473","Carmel","Sertraline","201903",21420,26499
"474","Carmel","Sertraline","201904",23970,26499
"475","Carmel","Sertraline","201905",23910,26499
"476","Carmel","Sertraline","201906",21840,26499
"477","Carmel","Sertraline","201907",27420,26499
"478","Carmel","Sertraline","201908",21930,26499
"479","Carmel","Sertraline","201909",23550,26499
"480","Carmel","Sertraline","201910",26700,26499
"481","Carmel","Sertraline","201911",26880,26499
"482","Carmel","Sertraline","201912",26010,26499
"483","Carmel","Sotalol","201901",225,26499
"484","Carmel","Sotalol","201902",180,26499
"485","Carmel","Sotalol","201903",240,26499
"486","Carmel","Sotalol","201904",165,26499
"487","Carmel","Sotalol","201905",285,26499
"488","Carmel","Sotalol","201906",225,26499
"489","Carmel","Sotalol","201907",315,26499
"490","Carmel","Sotalol","201908",135,26499
"491","Carmel","Sotalol","201909",225,26499
"492","Carmel","Sotalol","201910",150,26499
"493","Carmel","Sotalol","201911",345,26499
"494","Carmel","Sotalol","201912",180,26499
"495","Carmel","Sulfamethoxazole","201901",324,26499
"496","Carmel","Sulfamethoxazole","201902",388,26499
"497","Carmel","Sulfamethoxazole","201903",412,26499
"498","Carmel","Sulfamethoxazole","201904",666,26499
"499","Carmel","Sulfamethoxazole","201905",460,26499
"500","Carmel","Sulfamethoxazole","201906",420,26499
"501","Carmel","Sulfamethoxazole","201907",528,26499
"502","Carmel","Sulfamethoxazole","201908",208,26499
"503","Carmel","Sulfamethoxazole","201909",540,26499
"504","Carmel","Sulfamethoxazole","201910",608,26499
"505","Carmel","Sulfamethoxazole","201911",310,26499
"506","Carmel","Sulfamethoxazole","201912",388,26499
"507","Carmel","Trimethoprim","201901",324,26499
"508","Carmel","Trimethoprim","201902",396,26499
"509","Carmel","Trimethoprim","201903",412,26499
"510","Carmel","Trimethoprim","201904",666,26499
"511","Carmel","Trimethoprim","201905",460,26499
"512","Carmel","Trimethoprim","201906",420,26499
"513","Carmel","Trimethoprim","201907",528,26499
"514","Carmel","Trimethoprim","201908",208,26499
"515","Carmel","Trimethoprim","201909",540,26499
"516","Carmel","Trimethoprim","201910",608,26499
"517","Carmel","Trimethoprim","201911",310,26499
"518","Carmel","Trimethoprim","201912",388,26499
"519","Carmel","Valsartan","201901",25114.6,26499
"520","Carmel","Valsartan","201902",25342.8,26499
"521","Carmel","Valsartan","201903",24819.9,26499
"522","Carmel","Valsartan","201904",26632.2,26499
"523","Carmel","Valsartan","201905",29019.2,26499
"524","Carmel","Valsartan","201906",24828.3,26499
"525","Carmel","Valsartan","201907",29296.4,26499
"526","Carmel","Valsartan","201908",21133.7,26499
"527","Carmel","Valsartan","201909",24534.3,26499
"528","Carmel","Valsartan","201910",28329.7,26499
"529","Carmel","Valsartan","201911",27821.5,26499
"530","Carmel","Valsartan","201912",28106.4,26499
"531","Carmel","Venlafaxine","201901",9176.25,26499
"532","Carmel","Venlafaxine","201902",7773.75,26499
"533","Carmel","Venlafaxine","201903",9206.25,26499
"534","Carmel","Venlafaxine","201904",9588.75,26499
"535","Carmel","Venlafaxine","201905",9993.75,26499
"536","Carmel","Venlafaxine","201906",8430,26499
"537","Carmel","Venlafaxine","201907",11422.5,26499
"538","Carmel","Venlafaxine","201908",7455,26499
"539","Carmel","Venlafaxine","201909",8883.75,26499
"540","Carmel","Venlafaxine","201910",9840,26499
"541","Carmel","Venlafaxine","201911",9266.25,26499
"542","Carmel","Venlafaxine","201912",9405,26499
"543","Carmel","Zolpidem","201901",4500,26499
"544","Carmel","Zolpidem","201902",3510,26499
"545","Carmel","Zolpidem","201903",2715,26499
"546","Carmel","Zolpidem","201904",3945,26499
"547","Carmel","Zolpidem","201905",4155,26499
"548","Carmel","Zolpidem","201906",3615,26499
"549","Carmel","Zolpidem","201907",4185,26499
"550","Carmel","Zolpidem","201908",3375,26499
"551","Carmel","Zolpidem","201909",3525,26499
"552","Carmel","Zolpidem","201910",3765,26499
"553","Carmel","Zolpidem","201911",4395,26499
"554","Carmel","Zolpidem","201912",4230,26499
"555","Poblenou","Acetaminophen","201901",15622.33,8466
"556","Poblenou","Acetaminophen","201902",12355.77,8466
"557","Poblenou","Acetaminophen","201903",13529.62,8466
"558","Poblenou","Acetaminophen","201904",13818.42,8466
"559","Poblenou","Acetaminophen","201905",12670.93,8466
"560","Poblenou","Acetaminophen","201906",12895.49,8466
"561","Poblenou","Acetaminophen","201907",14098.95,8466
"562","Poblenou","Acetaminophen","201908",11367.64,8466
"563","Poblenou","Acetaminophen","201909",12115.59,8466
