Sexo	Sección	País de nacimiento	Total
Ambos Sexos	4300101001	Reino Unido	3
Ambos Sexos	4300101001	Rumanía	10
Ambos Sexos	4300101001	Total Europa No Comunitaria	6
Ambos Sexos	4300101001	Rusia	0
Ambos Sexos	4300101001	Ucrania	4
Ambos Sexos	4300101001	Total África	26
Ambos Sexos	4300101001	Argelia	0
Ambos Sexos	4300101001	Marruecos	23
Ambos Sexos	4300101001	Nigeria	0
Ambos Sexos	4300101001	Senegal	2
Ambos Sexos	4300101001	Total América	22
Ambos Sexos	4300101001	Argentina	4
Ambos Sexos	4300101001	Bolivia	2
Ambos Sexos	4300101001	Brasil	0
Ambos Sexos	4300101001	Colombia	8
Ambos Sexos	4300101001	Cuba	0
Ambos Sexos	4300101001	Chile	1
Ambos Sexos	4300101001	Ecuador	0
Ambos Sexos	4300101001	Paraguay	0
Ambos Sexos	4300101001	Perú	0
Ambos Sexos	4300101001	República Dominicana	0
Ambos Sexos	4300101001	Uruguay	1
Ambos Sexos	4300101001	Venezuela	1
Ambos Sexos	4300101001	Total Asia	1
Ambos Sexos	4300101001	China	0
Ambos Sexos	4300101001	Pakistán	0
Ambos Sexos	4300101001	Total Oceanía	0
Ambos Sexos	4300201001	Total Población	2.438
Ambos Sexos	4300201001	Nacidos en España	2.215
Ambos Sexos	4300201001	Nacidos en el Extranjero	223
Ambos Sexos	4300201001	Total Unión Europea	64
Ambos Sexos	4300201001	Alemania	8
Ambos Sexos	4300201001	Bulgaria	0
Ambos Sexos	4300201001	Francia	17
Ambos Sexos	4300201001	Italia	4
Ambos Sexos	4300201001	Polonia	0
Ambos Sexos	4300201001	Portugal	4
Ambos Sexos	4300201001	Reino Unido	10
Ambos Sexos	4300201001	Rumanía	12
Ambos Sexos	4300201001	Total Europa No Comunitaria	19
Ambos Sexos	4300201001	Rusia	0
Ambos Sexos	4300201001	Ucrania	11
Ambos Sexos	4300201001	Total África	52
Ambos Sexos	4300201001	Argelia	4
Ambos Sexos	4300201001	Marruecos	46
Ambos Sexos	4300201001	Nigeria	0
Ambos Sexos	4300201001	Senegal	0
Ambos Sexos	4300201001	Total América	79
Ambos Sexos	4300201001	Argentina	12
Ambos Sexos	4300201001	Bolivia	9
Ambos Sexos	4300201001	Brasil	5
Ambos Sexos	4300201001	Colombia	9
Ambos Sexos	4300201001	Cuba	3
Ambos Sexos	4300201001	Chile	7
Ambos Sexos	4300201001	Ecuador	3
Ambos Sexos	4300201001	Paraguay	3
Ambos Sexos	4300201001	Perú	2
Ambos Sexos	4300201001	República Dominicana	3
Ambos Sexos	4300201001	Uruguay	10
Ambos Sexos	4300201001	Venezuela	1
Ambos Sexos	4300201001	Total Asia	9
Ambos Sexos	4300201001	China	2
Ambos Sexos	4300201001	Pakistán	5
Ambos Sexos	4300201001	Total Oceanía	0
Ambos Sexos	4300301001	Total Población	485
Ambos Sexos	4300301001	Nacidos en España	447
Ambos Sexos	4300301001	Nacidos en el Extranjero	38
Ambos Sexos	4300301001	Total Unión Europea	21
Ambos Sexos	4300301001	Alemania	3
Ambos Sexos	4300301001	Bulgaria	1
Ambos Sexos	4300301001	Francia	4
Ambos Sexos	4300301001	Italia	1
Ambos Sexos	4300301001	Polonia	0
Ambos Sexos	4300301001	Portugal	0
Ambos Sexos	4300301001	Reino Unido	3
Ambos Sexos	4300301001	Rumanía	5
Ambos Sexos	4300301001	Total Europa No Comunitaria	0
Ambos Sexos	4300301001	Rusia	0
Ambos Sexos	4300301001	Ucrania	0
Ambos Sexos	4300301001	Total África	3
Ambos Sexos	4300301001	Argelia	0
Ambos Sexos	4300301001	Marruecos	3
Ambos Sexos	4300301001	Nigeria	0
Ambos Sexos	4300301001	Senegal	0
Ambos Sexos	4300301001	Total América	14
Ambos Sexos	4300301001	Argentina	6
Ambos Sexos	4300301001	Bolivia	0
Ambos Sexos	4300301001	Brasil	0
Ambos Sexos	4300301001	Colombia	6
Ambos Sexos	4300301001	Cuba	0
Ambos Sexos	4300301001	Chile	1
Ambos Sexos	4300301001	Ecuador	0
Ambos Sexos	4300301001	Paraguay	0
Ambos Sexos	4300301001	Perú	0
Ambos Sexos	4300301001	República Dominicana	0
Ambos Sexos	4300301001	Uruguay	0
Ambos Sexos	4300301001	Venezuela	0
Ambos Sexos	4300301001	Total Asia	0
Ambos Sexos	4300301001	China	0
Ambos Sexos	4300301001	Pakistán	0
Ambos Sexos	4300301001	Total Oceanía	0
Ambos Sexos	4300401001	Total Población	1.592
Ambos Sexos	4300401001	Nacidos en España	1.234
Ambos Sexos	4300401001	Nacidos en el Extranjero	358
Ambos Sexos	4300401001	Total Unión Europea	213
Ambos Sexos	4300401001	Alemania	10
Ambos Sexos	4300401001	Bulgaria	6
Ambos Sexos	4300401001	Francia	8
Ambos Sexos	4300401001	Italia	2
Ambos Sexos	4300401001	Polonia	10
Ambos Sexos	4300401001	Portugal	2
Ambos Sexos	4300401001	Reino Unido	2
Ambos Sexos	4300401001	Rumanía	160
Ambos Sexos	4300401001	Total Europa No Comunitaria	52
Ambos Sexos	4300401001	Rusia	2
Ambos Sexos	4300401001	Ucrania	9
Ambos Sexos	4300401001	Total África	65
Ambos Sexos	4300401001	Argelia	11
Ambos Sexos	4300401001	Marruecos	52
Ambos Sexos	4300401001	Nigeria	0
Ambos Sexos	4300401001	Senegal	2
Ambos Sexos	4300401001	Total América	20
Ambos Sexos	4300401001	Argentina	2
Ambos Sexos	4300401001	Bolivia	1
Ambos Sexos	4300401001	Brasil	3
Ambos Sexos	4300401001	Colombia	9
Ambos Sexos	4300401001	Cuba	0
Ambos Sexos	4300401001	Chile	0
Ambos Sexos	4300401001	Ecuador	0
Ambos Sexos	4300401001	Paraguay	0
Ambos Sexos	4300401001	Perú	1
Ambos Sexos	4300401001	República Dominicana	2
Ambos Sexos	4300401001	Uruguay	0
Ambos Sexos	4300401001	Venezuela	1
Ambos Sexos	4300401001	Total Asia	8
Ambos Sexos	4300401001	China	0
Ambos Sexos	4300401001	Pakistán	1
Ambos Sexos	4300401001	Total Oceanía	0
Ambos Sexos	4300401002	Total Población	1.639
Ambos Sexos	4300401002	Nacidos en España	1.347
Ambos Sexos	4300401002	Nacidos en el Extranjero	292
Ambos Sexos	4300401002	Total Unión Europea	161
Ambos Sexos	4300401002	Alemania	0
Ambos Sexos	4300401002	Bulgaria	7
Ambos Sexos	4300401002	Francia	2
Ambos Sexos	4300401002	Italia	2
Ambos Sexos	4300401002	Polonia	1
Ambos Sexos	4300401002	Portugal	0
Ambos Sexos	4300401002	Reino Unido	0
Ambos Sexos	4300401002	Rumanía	142
Ambos Sexos	4300401002	Total Europa No Comunitaria	73
Ambos Sexos	4300401002	Rusia	1
Ambos Sexos	4300401002	Ucrania	17
Ambos Sexos	4300401002	Total África	43
Ambos Sexos	4300401002	Argelia	4
Ambos Sexos	4300401002	Marruecos	36
Ambos Sexos	4300401002	Nigeria	0
Ambos Sexos	4300401002	Senegal	2
Ambos Sexos	4300401002	Total América	13
Ambos Sexos	4300401002	Argentina	0
Ambos Sexos	4300401002	Bolivia	0
Ambos Sexos	4300401002	Brasil	2
Ambos Sexos	4300401002	Colombia	4
Ambos Sexos	4300401002	Cuba	1
Ambos Sexos	4300401002	Chile	2
Ambos Sexos	4300401002	Ecuador	0
Ambos Sexos	4300401002	Paraguay	1
Ambos Sexos	4300401002	Perú	0
Ambos Sexos	4300401002	República Dominicana	1
Ambos Sexos	4300401002	Uruguay	0
Ambos Sexos	4300401002	Venezuela	0
Ambos Sexos	4300401002	Total Asia	2
Ambos Sexos	4300401002	China	0
Ambos Sexos	4300401002	Pakistán	0
Ambos Sexos	4300401002	Total Oceanía	0
Ambos Sexos	4300401003	Total Población	2.487
Ambos Sexos	4300401003	Nacidos en España	1.916
Ambos Sexos	4300401003	Nacidos en el Extranjero	571
Ambos Sexos	4300401003	Total Unión Europea	283
Ambos Sexos	4300401003	Alemania	37
Ambos Sexos	4300401003	Bulgaria	6
Ambos Sexos	4300401003	Francia	40
Ambos Sexos	4300401003	Italia	5
Ambos Sexos	4300401003	Polonia	11
Ambos Sexos	4300401003	Portugal	5
Ambos Sexos	4300401003	Reino Unido	13
Ambos Sexos	4300401003	Rumanía	126
Ambos Sexos	4300401003	Total Europa No Comunitaria	88
Ambos Sexos	4300401003	Rusia	8
Ambos Sexos	4300401003	Ucrania	17
Ambos Sexos	4300401003	Total África	78
Ambos Sexos	4300401003	Argelia	19
Ambos Sexos	4300401003	Marruecos	54
Ambos Sexos	4300401003	Nigeria	0
Ambos Sexos	4300401003	Senegal	0
Ambos Sexos	4300401003	Total América	117
Ambos Sexos	4300401003	Argentina	28
Ambos Sexos	4300401003	Bolivia	1
Ambos Sexos	4300401003	Brasil	4
Ambos Sexos	4300401003	Colombia	32
Ambos Sexos	4300401003	Cuba	1
Ambos Sexos	4300401003	Chile	2
Ambos Sexos	4300401003	Ecuador	13
Ambos Sexos	4300401003	Paraguay	3
Ambos Sexos	4300401003	Perú	2
Ambos Sexos	4300401003	República Dominicana	9
Ambos Sexos	4300401003	Uruguay	5
Ambos Sexos	4300401003	Venezuela	3
Ambos Sexos	4300401003	Total Asia	5
Ambos Sexos	4300401003	China	0
Ambos Sexos	4300401003	Pakistán	1
Ambos Sexos	4300401003	Total Oceanía	0
Ambos Sexos	4300401004	Total Población	1.831
Ambos Sexos	4300401004	Nacidos en España	1.450
Ambos Sexos	4300401004	Nacidos en el Extranjero	381
Ambos Sexos	4300401004	Total Unión Europea	230
Ambos Sexos	4300401004	Alemania	0
Ambos Sexos	4300401004	Bulgaria	2
Ambos Sexos	4300401004	Francia	11
Ambos Sexos	4300401004	Italia	0
Ambos Sexos	4300401004	Polonia	1
Ambos Sexos	4300401004	Portugal	2
Ambos Sexos	4300401004	Reino Unido	0
Ambos Sexos	4300401004	Rumanía	203
Ambos Sexos	4300401004	Total Europa No Comunitaria	103
Ambos Sexos	4300401004	Rusia	4
Ambos Sexos	4300401004	Ucrania	23
Ambos Sexos	4300401004	Total África	13
Ambos Sexos	4300401004	Argelia	5
Ambos Sexos	4300401004	Marruecos	7
Ambos Sexos	4300401004	Nigeria	0
Ambos Sexos	4300401004	Senegal	0
Ambos Sexos	4300401004	Total América	26
Ambos Sexos	4300401004	Argentina	3
Ambos Sexos	4300401004	Bolivia	0
Ambos Sexos	4300401004	Brasil	6
Ambos Sexos	4300401004	Colombia	10
Ambos Sexos	4300401004	Cuba	2
Ambos Sexos	4300401004	Chile	0
Ambos Sexos	4300401004	Ecuador	1
Ambos Sexos	4300401004	Paraguay	0
Ambos Sexos	4300401004	Perú	0
Ambos Sexos	4300401004	República Dominicana	0
Ambos Sexos	4300401004	Uruguay	1
Ambos Sexos	4300401004	Venezuela	0
Ambos Sexos	4300401004	Total Asia	9
Ambos Sexos	4300401004	China	6
Ambos Sexos	4300401004	Pakistán	2
Ambos Sexos	4300401004	Total Oceanía	0
Ambos Sexos	4300402001	Total Población	1.191
Ambos Sexos	4300402001	Nacidos en España	1.029
Ambos Sexos	4300402001	Nacidos en el Extranjero	162
Ambos Sexos	4300402001	Total Unión Europea	88
Ambos Sexos	4300402001	Alemania	5
Ambos Sexos	4300402001	Bulgaria	0
Ambos Sexos	4300402001	Francia	6
Ambos Sexos	4300402001	Italia	0
Ambos Sexos	4300402001	Polonia	1
Ambos Sexos	4300402001	Portugal	0
Ambos Sexos	4300402001	Reino Unido	2
Ambos Sexos	4300402001	Rumanía	72
Ambos Sexos	4300402001	Total Europa No Comunitaria	20
Ambos Sexos	4300402001	Rusia	1
Ambos Sexos	4300402001	Ucrania	3
Ambos Sexos	4300402001	Total África	41
Ambos Sexos	4300402001	Argelia	3
Ambos Sexos	4300402001	Marruecos	38
Ambos Sexos	4300402001	Nigeria	0
Ambos Sexos	4300402001	Senegal	0
Ambos Sexos	4300402001	Total América	13
Ambos Sexos	4300402001	Argentina	2
Ambos Sexos	4300402001	Bolivia	0
Ambos Sexos	4300402001	Brasil	1
Ambos Sexos	4300402001	Colombia	2
Ambos Sexos	4300402001	Cuba	1
Ambos Sexos	4300402001	Chile	0
Ambos Sexos	4300402001	Ecuador	2
Ambos Sexos	4300402001	Paraguay	0
Ambos Sexos	4300402001	Perú	0
Ambos Sexos	4300402001	República Dominicana	1
Ambos Sexos	4300402001	Uruguay	0
Ambos Sexos	4300402001	Venezuela	0
Ambos Sexos	4300402001	Total Asia	0
Ambos Sexos	4300402001	China	0
Ambos Sexos	4300402001	Pakistán	0
Ambos Sexos	4300402001	Total Oceanía	0
Ambos Sexos	4300402002	Total Población	678
Ambos Sexos	4300402002	Nacidos en España	567
Ambos Sexos	4300402002	Nacidos en el Extranjero	111
Ambos Sexos	4300402002	Total Unión Europea	61
Ambos Sexos	4300402002	Alemania	3
Ambos Sexos	4300402002	Bulgaria	0
Ambos Sexos	4300402002	Francia	4
Ambos Sexos	4300402002	Italia	0
Ambos Sexos	4300402002	Polonia	0
Ambos Sexos	4300402002	Portugal	2
Ambos Sexos	4300402002	Reino Unido	0
Ambos Sexos	4300402002	Rumanía	50
Ambos Sexos	4300402002	Total Europa No Comunitaria	13
Ambos Sexos	4300402002	Rusia	0
Ambos Sexos	4300402002	Ucrania	4
Ambos Sexos	4300402002	Total África	22
Ambos Sexos	4300402002	Argelia	6
Ambos Sexos	4300402002	Marruecos	15
Ambos Sexos	4300402002	Nigeria	0
Ambos Sexos	4300402002	Senegal	1
Ambos Sexos	4300402002	Total América	15
Ambos Sexos	4300402002	Argentina	0
Ambos Sexos	4300402002	Bolivia	0
Ambos Sexos	4300402002	Brasil	1
Ambos Sexos	4300402002	Colombia	2
Ambos Sexos	4300402002	Cuba	0
Ambos Sexos	4300402002	Chile	0
Ambos Sexos	4300402002	Ecuador	11
Ambos Sexos	4300402002	Paraguay	0
Ambos Sexos	4300402002	Perú	0
Ambos Sexos	4300402002	República Dominicana	0
Ambos Sexos	4300402002	Uruguay	0
Ambos Sexos	4300402002	Venezuela	0
Ambos Sexos	4300402002	Total Asia	0
Ambos Sexos	4300402002	China	0
Ambos Sexos	4300402002	Pakistán	0
Ambos Sexos	4300402002	Total Oceanía	0
Ambos Sexos	4300501001	Total Población	2.624
Ambos Sexos	4300501001	Nacidos en España	2.302
Ambos Sexos	4300501001	Nacidos en el Extranjero	322
Ambos Sexos	4300501001	Total Unión Europea	157
Ambos Sexos	4300501001	Alemania	4
Ambos Sexos	4300501001	Bulgaria	0
Ambos Sexos	4300501001	Francia	3
Ambos Sexos	4300501001	Italia	1
Ambos Sexos	4300501001	Polonia	0
Ambos Sexos	4300501001	Portugal	6
Ambos Sexos	4300501001	Reino Unido	3
Ambos Sexos	4300501001	Rumanía	140
Ambos Sexos	4300501001	Total Europa No Comunitaria	19
Ambos Sexos	4300501001	Rusia	5
Ambos Sexos	4300501001	Ucrania	8
Ambos Sexos	4300501001	Total África	70
Ambos Sexos	4300501001	Argelia	4
Ambos Sexos	4300501001	Marruecos	64
Ambos Sexos	4300501001	Nigeria	0
Ambos Sexos	4300501001	Senegal	2
Ambos Sexos	4300501001	Total América	59
Ambos Sexos	4300501001	Argentina	11
Ambos Sexos	4300501001	Bolivia	1
Ambos Sexos	4300501001	Brasil	12
Ambos Sexos	4300501001	Colombia	0
Ambos Sexos	4300501001	Cuba	6
Ambos Sexos	4300501001	Chile	4
Ambos Sexos	4300501001	Ecuador	4
Ambos Sexos	4300501001	Paraguay	0
Ambos Sexos	4300501001	Perú	7
Ambos Sexos	4300501001	República Dominicana	2
Ambos Sexos	4300501001	Uruguay	4
Ambos Sexos	4300501001	Venezuela	7
Ambos Sexos	4300501001	Total Asia	17
Ambos Sexos	4300501001	China	4
Ambos Sexos	4300501001	Pakistán	9
Ambos Sexos	4300501001	Total Oceanía	0
Ambos Sexos	4300502001	Total Población	2.440
Ambos Sexos	4300502001	Nacidos en España	2.147
Ambos Sexos	4300502001	Nacidos en el Extranjero	293
Ambos Sexos	4300502001	Total Unión Europea	140
Ambos Sexos	4300502001	Alemania	7
Ambos Sexos	4300502001	Bulgaria	8
Ambos Sexos	4300502001	Francia	10
Ambos Sexos	4300502001	Italia	1
Ambos Sexos	4300502001	Polonia	4
Ambos Sexos	4300502001	Portugal	5
Ambos Sexos	4300502001	Reino Unido	11
Ambos Sexos	4300502001	Rumanía	84
Ambos Sexos	4300502001	Total Europa No Comunitaria	10
Ambos Sexos	4300502001	Rusia	4
Ambos Sexos	4300502001	Ucrania	0
Ambos Sexos	4300502001	Total África	80
Ambos Sexos	4300502001	Argelia	7
Ambos Sexos	4300502001	Marruecos	69
Ambos Sexos	4300502001	Nigeria	0
Ambos Sexos	4300502001	Senegal	4
Ambos Sexos	4300502001	Total América	55
Ambos Sexos	4300502001	Argentina	8
Ambos Sexos	4300502001	Bolivia	4
Ambos Sexos	4300502001	Brasil	2
Ambos Sexos	4300502001	Colombia	13
Ambos Sexos	4300502001	Cuba	13
Ambos Sexos	4300502001	Chile	3
Ambos Sexos	4300502001	Ecuador	2
Ambos Sexos	4300502001	Paraguay	0
Ambos Sexos	4300502001	Perú	0
Ambos Sexos	4300502001	República Dominicana	4
Ambos Sexos	4300502001	Uruguay	0
Ambos Sexos	4300502001	Venezuela	0
Ambos Sexos	4300502001	Total Asia	8
Ambos Sexos	4300502001	China	7
Ambos Sexos	4300502001	Pakistán	0
Ambos Sexos	4300502001	Total Oceanía	0
Ambos Sexos	4300601001	Total Población	882
Ambos Sexos	4300601001	Nacidos en España	768
Ambos Sexos	4300601001	Nacidos en el Extranjero	114
Ambos Sexos	4300601001	Total Unión Europea	68
Ambos Sexos	4300601001	Alemania	1
Ambos Sexos	4300601001	Bulgaria	0
Ambos Sexos	4300601001	Francia	4
Ambos Sexos	4300601001	Italia	0
Ambos Sexos	4300601001	Polonia	1
Ambos Sexos	4300601001	Portugal	0
Ambos Sexos	4300601001	Reino Unido	12
Ambos Sexos	4300601001	Rumanía	45
Ambos Sexos	4300601001	Total Europa No Comunitaria	2
Ambos Sexos	4300601001	Rusia	1
Ambos Sexos	4300601001	Ucrania	0
Ambos Sexos	4300601001	Total África	31
Ambos Sexos	4300601001	Argelia	0
Ambos Sexos	4300601001	Marruecos	31
Ambos Sexos	4300601001	Nigeria	0
Ambos Sexos	4300601001	Senegal	0
Ambos Sexos	4300601001	Total América	12
Ambos Sexos	4300601001	Argentina	1
Ambos Sexos	4300601001	Bolivia	0
Ambos Sexos	4300601001	Brasil	0
Ambos Sexos	4300601001	Colombia	1
Ambos Sexos	4300601001	Cuba	0
Ambos Sexos	4300601001	Chile	0
Ambos Sexos	4300601001	Ecuador	3
Ambos Sexos	4300601001	Paraguay	4
Ambos Sexos	4300601001	Perú	0
Ambos Sexos	4300601001	República Dominicana	0
Ambos Sexos	4300601001	Uruguay	0
Ambos Sexos	4300601001	Venezuela	0
Ambos Sexos	4300601001	Total Asia	1
Ambos Sexos	4300601001	China	0
Ambos Sexos	4300601001	Pakistán	0
Ambos Sexos	4300601001	Total Oceanía	0
Ambos Sexos	4300701001	Total Población	873
Ambos Sexos	4300701001	Nacidos en España	765
Ambos Sexos	4300701001	Nacidos en el Extranjero	108
Ambos Sexos	4300701001	Total Unión Europea	39
Ambos Sexos	4300701001	Alemania	2
Ambos Sexos	4300701001	Bulgaria	5
Ambos Sexos	4300701001	Francia	6
Ambos Sexos	4300701001	Italia	0
Ambos Sexos	4300701001	Polonia	0
Ambos Sexos	4300701001	Portugal	1
Ambos Sexos	4300701001	Reino Unido	1
Ambos Sexos	4300701001	Rumanía	23
Ambos Sexos	4300701001	Total Europa No Comunitaria	20
Ambos Sexos	4300701001	Rusia	1
Ambos Sexos	4300701001	Ucrania	10
Ambos Sexos	4300701001	Total África	34
Ambos Sexos	4300701001	Argelia	0
Ambos Sexos	4300701001	Marruecos	31
Ambos Sexos	4300701001	Nigeria	0
Ambos Sexos	4300701001	Senegal	2
Ambos Sexos	4300701001	Total América	13
Ambos Sexos	4300701001	Argentina	3
Ambos Sexos	4300701001	Bolivia	0
Ambos Sexos	4300701001	Brasil	1
Ambos Sexos	4300701001	Colombia	0
Ambos Sexos	4300701001	Cuba	2
Ambos Sexos	4300701001	Chile	1
Ambos Sexos	4300701001	Ecuador	0
Ambos Sexos	4300701001	Paraguay	0
Ambos Sexos	4300701001	Perú	1
Ambos Sexos	4300701001	República Dominicana	0
Ambos Sexos	4300701001	Uruguay	3
Ambos Sexos	4300701001	Venezuela	0
Ambos Sexos	4300701001	Total Asia	2
Ambos Sexos	4300701001	China	2
Ambos Sexos	4300701001	Pakistán	0
Ambos Sexos	4300701001	Total Oceanía	0
Ambos Sexos	4300801001	Total Población	377
Ambos Sexos	4300801001	Nacidos en España	343
Ambos Sexos	4300801001	Nacidos en el Extranjero	34
Ambos Sexos	4300801001	Total Unión Europea	16
Ambos Sexos	4300801001	Alemania	0
Ambos Sexos	4300801001	Bulgaria	0
Ambos Sexos	4300801001	Francia	1
Ambos Sexos	4300801001	Italia	0
Ambos Sexos	4300801001	Polonia	0
Ambos Sexos	4300801001	Portugal	0
Ambos Sexos	4300801001	Reino Unido	4
Ambos Sexos	4300801001	Rumanía	11
Ambos Sexos	4300801001	Total Europa No Comunitaria	5
Ambos Sexos	4300801001	Rusia	0
Ambos Sexos	4300801001	Ucrania	2
Ambos Sexos	4300801001	Total África	1
Ambos Sexos	4300801001	Argelia	0
Ambos Sexos	4300801001	Marruecos	1
Ambos Sexos	4300801001	Nigeria	0
Ambos Sexos	4300801001	Senegal	0
Ambos Sexos	4300801001	Total América	10
Ambos Sexos	4300801001	Argentina	3
Ambos Sexos	4300801001	Bolivia	0
Ambos Sexos	4300801001	Brasil	0
Ambos Sexos	4300801001	Colombia	4
Ambos Sexos	4300801001	Cuba	0
Ambos Sexos	4300801001	Chile	0
Ambos Sexos	4300801001	Ecuador	1
Ambos Sexos	4300801001	Paraguay	0
Ambos Sexos	4300801001	Perú	0
Ambos Sexos	4300801001	República Dominicana	2
Ambos Sexos	4300801001	Uruguay	0
Ambos Sexos	4300801001	Venezuela	0
Ambos Sexos	4300801001	Total Asia	2
Ambos Sexos	4300801001	China	0
Ambos Sexos	4300801001	Pakistán	0
Ambos Sexos	4300801001	Total Oceanía	0
Ambos Sexos	4300901001	Total Población	1.801
Ambos Sexos	4300901001	Nacidos en España	1.643
Ambos Sexos	4300901001	Nacidos en el Extranjero	158
Ambos Sexos	4300901001	Total Unión Europea	93
Ambos Sexos	4300901001	Alemania	6
Ambos Sexos	4300901001	Bulgaria	0
Ambos Sexos	4300901001	Francia	7
Ambos Sexos	4300901001	Italia	2
Ambos Sexos	4300901001	Polonia	4
Ambos Sexos	4300901001	Portugal	2
Ambos Sexos	4300901001	Reino Unido	8
Ambos Sexos	4300901001	Rumanía	51
Ambos Sexos	4300901001	Total Europa No Comunitaria	7
Ambos Sexos	4300901001	Rusia	2
Ambos Sexos	4300901001	Ucrania	1
Ambos Sexos	4300901001	Total África	12
Ambos Sexos	4300901001	Argelia	0
Ambos Sexos	4300901001	Marruecos	12
Ambos Sexos	4300901001	Nigeria	0
Ambos Sexos	4300901001	Senegal	0
Ambos Sexos	4300901001	Total América	44
Ambos Sexos	4300901001	Argentina	10
Ambos Sexos	4300901001	Bolivia	4
Ambos Sexos	4300901001	Brasil	5
Ambos Sexos	4300901001	Colombia	10
Ambos Sexos	4300901001	Cuba	1
Ambos Sexos	4300901001	Chile	1
Ambos Sexos	4300901001	Ecuador	1
Ambos Sexos	4300901001	Paraguay	1
Ambos Sexos	4300901001	Perú	3
Ambos Sexos	4300901001	República Dominicana	3
Ambos Sexos	4300901001	Uruguay	2
Ambos Sexos	4300901001	Venezuela	0
Ambos Sexos	4300901001	Total Asia	2
Ambos Sexos	4300901001	China	0
Ambos Sexos	4300901001	Pakistán	0
Ambos Sexos	4300901001	Total Oceanía	0
Ambos Sexos	4301001001	Total Población	439
Ambos Sexos	4301001001	Nacidos en España	409
Ambos Sexos	4301001001	Nacidos en el Extranjero	30
Ambos Sexos	4301001001	Total Unión Europea	13
Ambos Sexos	4301001001	Alemania	1
Ambos Sexos	4301001001	Bulgaria	1
Ambos Sexos	4301001001	Francia	0
Ambos Sexos	4301001001	Italia	2
Ambos Sexos	4301001001	Polonia	0
Ambos Sexos	4301001001	Portugal	0
Ambos Sexos	4301001001	Reino Unido	1
Ambos Sexos	4301001001	Rumanía	7
Ambos Sexos	4301001001	Total Europa No Comunitaria	2
Ambos Sexos	4301001001	Rusia	0
Ambos Sexos	4301001001	Ucrania	0
Ambos Sexos	4301001001	Total África	13
Ambos Sexos	4301001001	Argelia	4
Ambos Sexos	4301001001	Marruecos	9
Ambos Sexos	4301001001	Nigeria	0
Ambos Sexos	4301001001	Senegal	0
Ambos Sexos	4301001001	Total América	1
Ambos Sexos	4301001001	Argentina	0
Ambos Sexos	4301001001	Bolivia	0
Ambos Sexos	4301001001	Brasil	0
Ambos Sexos	4301001001	Colombia	0
Ambos Sexos	4301001001	Cuba	0
Ambos Sexos	4301001001	Chile	0
Ambos Sexos	4301001001	Ecuador	0
Ambos Sexos	4301001001	Paraguay	1
Ambos Sexos	4301001001	Perú	0
Ambos Sexos	4301001001	República Dominicana	0
Ambos Sexos	4301001001	Uruguay	0
Ambos Sexos	4301001001	Venezuela	0
Ambos Sexos	4301001001	Total Asia	1
Ambos Sexos	4301001001	China	0
Ambos Sexos	4301001001	Pakistán	0
Ambos Sexos	4301001001	Total Oceanía	0
Ambos Sexos	4301101001	Total Población	1.351
