Sexo	Sección	País de nacimiento	Total
Ambos Sexos	1700201001	Total Población	756
Ambos Sexos	1700201001	Nacidos en España	716
Ambos Sexos	1700201001	Nacidos en el Extranjero	40
Ambos Sexos	1700201001	Total Unión Europea	10
Ambos Sexos	1700201001	Alemania	0
Ambos Sexos	1700201001	Bulgaria	1
Ambos Sexos	1700201001	Francia	2
Ambos Sexos	1700201001	Italia	1
Ambos Sexos	1700201001	Polonia	0
Ambos Sexos	1700201001	Portugal	0
Ambos Sexos	1700201001	Reino Unido	0
Ambos Sexos	1700201001	Rumanía	5
Ambos Sexos	1700201001	Total Europa No Comunitaria	0
Ambos Sexos	1700201001	Rusia	0
Ambos Sexos	1700201001	Ucrania	0
Ambos Sexos	1700201001	Total África	9
Ambos Sexos	1700201001	Argelia	0
Ambos Sexos	1700201001	Marruecos	8
Ambos Sexos	1700201001	Nigeria	0
Ambos Sexos	1700201001	Senegal	0
Ambos Sexos	1700201001	Total América	21
Ambos Sexos	1700201001	Argentina	0
Ambos Sexos	1700201001	Bolivia	0
Ambos Sexos	1700201001	Brasil	7
Ambos Sexos	1700201001	Colombia	7
Ambos Sexos	1700201001	Cuba	2
Ambos Sexos	1700201001	Chile	0
Ambos Sexos	1700201001	Ecuador	2
Ambos Sexos	1700201001	Paraguay	0
Ambos Sexos	1700201001	Perú	0
Ambos Sexos	1700201001	República Dominicana	1
Ambos Sexos	1700201001	Uruguay	0
Ambos Sexos	1700201001	Venezuela	0
Ambos Sexos	1700201001	Total Asia	0
Ambos Sexos	1700201001	China	0
Ambos Sexos	1700201001	Pakistán	0
Ambos Sexos	1700201001	Total Oceanía	0
Ambos Sexos	1700301001	Total Población	157
Ambos Sexos	1700301001	Nacidos en España	134
Ambos Sexos	1700301001	Nacidos en el Extranjero	23
Ambos Sexos	1700301001	Total Unión Europea	16
Ambos Sexos	1700301001	Alemania	2
Ambos Sexos	1700301001	Bulgaria	0
Ambos Sexos	1700301001	Francia	5
Ambos Sexos	1700301001	Italia	0
Ambos Sexos	1700301001	Polonia	0
Ambos Sexos	1700301001	Portugal	1
Ambos Sexos	1700301001	Reino Unido	1
Ambos Sexos	1700301001	Rumanía	4
Ambos Sexos	1700301001	Total Europa No Comunitaria	0
Ambos Sexos	1700301001	Rusia	0
Ambos Sexos	1700301001	Ucrania	0
Ambos Sexos	1700301001	Total África	3
Ambos Sexos	1700301001	Argelia	0
Ambos Sexos	1700301001	Marruecos	0
Ambos Sexos	1700301001	Nigeria	0
Ambos Sexos	1700301001	Senegal	3
Ambos Sexos	1700301001	Total América	4
Ambos Sexos	1700301001	Argentina	3
Ambos Sexos	1700301001	Bolivia	0
Ambos Sexos	1700301001	Brasil	1
Ambos Sexos	1700301001	Colombia	0
Ambos Sexos	1700301001	Cuba	0
Ambos Sexos	1700301001	Chile	0
Ambos Sexos	1700301001	Ecuador	0
Ambos Sexos	1700301001	Paraguay	0
Ambos Sexos	1700301001	Perú	0
Ambos Sexos	1700301001	República Dominicana	0
Ambos Sexos	1700301001	Uruguay	0
Ambos Sexos	1700301001	Venezuela	0
Ambos Sexos	1700301001	Total Asia	0
Ambos Sexos	1700301001	China	0
Ambos Sexos	1700301001	Pakistán	0
Ambos Sexos	1700301001	Total Oceanía	0
Ambos Sexos	1700401001	Total Población	776
Ambos Sexos	1700401001	Nacidos en España	635
Ambos Sexos	1700401001	Nacidos en el Extranjero	141
Ambos Sexos	1700401001	Total Unión Europea	62
Ambos Sexos	1700401001	Alemania	4
Ambos Sexos	1700401001	Bulgaria	0
Ambos Sexos	1700401001	Francia	20
Ambos Sexos	1700401001	Italia	2
Ambos Sexos	1700401001	Polonia	0
Ambos Sexos	1700401001	Portugal	0
Ambos Sexos	1700401001	Reino Unido	16
Ambos Sexos	1700401001	Rumanía	11
Ambos Sexos	1700401001	Total Europa No Comunitaria	4
Ambos Sexos	1700401001	Rusia	0
Ambos Sexos	1700401001	Ucrania	2
Ambos Sexos	1700401001	Total África	45
Ambos Sexos	1700401001	Argelia	0
Ambos Sexos	1700401001	Marruecos	17
Ambos Sexos	1700401001	Nigeria	0
Ambos Sexos	1700401001	Senegal	3
Ambos Sexos	1700401001	Total América	27
Ambos Sexos	1700401001	Argentina	4
Ambos Sexos	1700401001	Bolivia	0
Ambos Sexos	1700401001	Brasil	2
Ambos Sexos	1700401001	Colombia	1
Ambos Sexos	1700401001	Cuba	2
Ambos Sexos	1700401001	Chile	2
Ambos Sexos	1700401001	Ecuador	0
Ambos Sexos	1700401001	Paraguay	0
Ambos Sexos	1700401001	Perú	0
Ambos Sexos	1700401001	República Dominicana	0
Ambos Sexos	1700401001	Uruguay	2
Ambos Sexos	1700401001	Venezuela	1
Ambos Sexos	1700401001	Total Asia	3
Ambos Sexos	1700401001	China	1
Ambos Sexos	1700401001	Pakistán	0
Ambos Sexos	1700401001	Total Oceanía	0
Ambos Sexos	1700501001	Total Población	599
Ambos Sexos	1700501001	Nacidos en España	563
Ambos Sexos	1700501001	Nacidos en el Extranjero	36
Ambos Sexos	1700501001	Total Unión Europea	23
Ambos Sexos	1700501001	Alemania	4
Ambos Sexos	1700501001	Bulgaria	0
Ambos Sexos	1700501001	Francia	14
Ambos Sexos	1700501001	Italia	1
Ambos Sexos	1700501001	Polonia	0
Ambos Sexos	1700501001	Portugal	1
Ambos Sexos	1700501001	Reino Unido	3
Ambos Sexos	1700501001	Rumanía	0
Ambos Sexos	1700501001	Total Europa No Comunitaria	3
Ambos Sexos	1700501001	Rusia	1
Ambos Sexos	1700501001	Ucrania	2
Ambos Sexos	1700501001	Total África	5
Ambos Sexos	1700501001	Argelia	0
Ambos Sexos	1700501001	Marruecos	5
Ambos Sexos	1700501001	Nigeria	0
Ambos Sexos	1700501001	Senegal	0
Ambos Sexos	1700501001	Total América	5
Ambos Sexos	1700501001	Argentina	1
Ambos Sexos	1700501001	Bolivia	0
Ambos Sexos	1700501001	Brasil	0
Ambos Sexos	1700501001	Colombia	4
Ambos Sexos	1700501001	Cuba	0
Ambos Sexos	1700501001	Chile	0
Ambos Sexos	1700501001	Ecuador	0
Ambos Sexos	1700501001	Paraguay	0
Ambos Sexos	1700501001	Perú	0
Ambos Sexos	1700501001	República Dominicana	0
Ambos Sexos	1700501001	Uruguay	0
Ambos Sexos	1700501001	Venezuela	0
Ambos Sexos	1700501001	Total Asia	0
Ambos Sexos	1700501001	China	0
Ambos Sexos	1700501001	Pakistán	0
Ambos Sexos	1700501001	Total Oceanía	0
Ambos Sexos	1700601001	Total Población	1.580
Ambos Sexos	1700601001	Nacidos en España	1.331
Ambos Sexos	1700601001	Nacidos en el Extranjero	249
Ambos Sexos	1700601001	Total Unión Europea	85
Ambos Sexos	1700601001	Alemania	1
Ambos Sexos	1700601001	Bulgaria	3
Ambos Sexos	1700601001	Francia	17
Ambos Sexos	1700601001	Italia	5
Ambos Sexos	1700601001	Polonia	0
Ambos Sexos	1700601001	Portugal	5
Ambos Sexos	1700601001	Reino Unido	1
Ambos Sexos	1700601001	Rumanía	50
Ambos Sexos	1700601001	Total Europa No Comunitaria	23
Ambos Sexos	1700601001	Rusia	7
Ambos Sexos	1700601001	Ucrania	1
Ambos Sexos	1700601001	Total África	16
Ambos Sexos	1700601001	Argelia	0
Ambos Sexos	1700601001	Marruecos	9
Ambos Sexos	1700601001	Nigeria	0
Ambos Sexos	1700601001	Senegal	0
Ambos Sexos	1700601001	Total América	119
Ambos Sexos	1700601001	Argentina	19
Ambos Sexos	1700601001	Bolivia	23
Ambos Sexos	1700601001	Brasil	3
Ambos Sexos	1700601001	Colombia	38
Ambos Sexos	1700601001	Cuba	2
Ambos Sexos	1700601001	Chile	2
Ambos Sexos	1700601001	Ecuador	5
Ambos Sexos	1700601001	Paraguay	0
Ambos Sexos	1700601001	Perú	10
Ambos Sexos	1700601001	República Dominicana	6
Ambos Sexos	1700601001	Uruguay	3
Ambos Sexos	1700601001	Venezuela	2
Ambos Sexos	1700601001	Total Asia	5
Ambos Sexos	1700601001	China	1
Ambos Sexos	1700601001	Pakistán	1
Ambos Sexos	1700601001	Total Oceanía	1
Ambos Sexos	1700701001	Total Población	2.298
Ambos Sexos	1700701001	Nacidos en España	2.075
Ambos Sexos	1700701001	Nacidos en el Extranjero	223
Ambos Sexos	1700701001	Total Unión Europea	38
Ambos Sexos	1700701001	Alemania	1
Ambos Sexos	1700701001	Bulgaria	1
Ambos Sexos	1700701001	Francia	8
Ambos Sexos	1700701001	Italia	0
Ambos Sexos	1700701001	Polonia	0
Ambos Sexos	1700701001	Portugal	4
Ambos Sexos	1700701001	Reino Unido	12
Ambos Sexos	1700701001	Rumanía	11
Ambos Sexos	1700701001	Total Europa No Comunitaria	22
Ambos Sexos	1700701001	Rusia	13
Ambos Sexos	1700701001	Ucrania	3
Ambos Sexos	1700701001	Total África	79
Ambos Sexos	1700701001	Argelia	2
Ambos Sexos	1700701001	Marruecos	70
Ambos Sexos	1700701001	Nigeria	2
Ambos Sexos	1700701001	Senegal	0
Ambos Sexos	1700701001	Total América	48
Ambos Sexos	1700701001	Argentina	1
Ambos Sexos	1700701001	Bolivia	0
Ambos Sexos	1700701001	Brasil	4
Ambos Sexos	1700701001	Colombia	1
Ambos Sexos	1700701001	Cuba	1
Ambos Sexos	1700701001	Chile	0
Ambos Sexos	1700701001	Ecuador	2
Ambos Sexos	1700701001	Paraguay	0
Ambos Sexos	1700701001	Perú	4
Ambos Sexos	1700701001	República Dominicana	3
Ambos Sexos	1700701001	Uruguay	2
Ambos Sexos	1700701001	Venezuela	0
Ambos Sexos	1700701001	Total Asia	36
Ambos Sexos	1700701001	China	2
Ambos Sexos	1700701001	Pakistán	0
Ambos Sexos	1700701001	Total Oceanía	0
Ambos Sexos	1700801001	Total Población	1.453
Ambos Sexos	1700801001	Nacidos en España	1.028
Ambos Sexos	1700801001	Nacidos en el Extranjero	425
Ambos Sexos	1700801001	Total Unión Europea	39
Ambos Sexos	1700801001	Alemania	2
Ambos Sexos	1700801001	Bulgaria	0
Ambos Sexos	1700801001	Francia	1
Ambos Sexos	1700801001	Italia	1
Ambos Sexos	1700801001	Polonia	0
Ambos Sexos	1700801001	Portugal	29
Ambos Sexos	1700801001	Reino Unido	3
Ambos Sexos	1700801001	Rumanía	3
Ambos Sexos	1700801001	Total Europa No Comunitaria	37
Ambos Sexos	1700801001	Rusia	7
Ambos Sexos	1700801001	Ucrania	29
Ambos Sexos	1700801001	Total África	188
Ambos Sexos	1700801001	Argelia	0
Ambos Sexos	1700801001	Marruecos	186
Ambos Sexos	1700801001	Nigeria	0
Ambos Sexos	1700801001	Senegal	0
Ambos Sexos	1700801001	Total América	52
Ambos Sexos	1700801001	Argentina	4
Ambos Sexos	1700801001	Bolivia	6
Ambos Sexos	1700801001	Brasil	2
Ambos Sexos	1700801001	Colombia	5
Ambos Sexos	1700801001	Cuba	0
Ambos Sexos	1700801001	Chile	0
Ambos Sexos	1700801001	Ecuador	0
Ambos Sexos	1700801001	Paraguay	0
Ambos Sexos	1700801001	Perú	10
Ambos Sexos	1700801001	República Dominicana	2
Ambos Sexos	1700801001	Uruguay	1
Ambos Sexos	1700801001	Venezuela	0
Ambos Sexos	1700801001	Total Asia	109
Ambos Sexos	1700801001	China	2
Ambos Sexos	1700801001	Pakistán	0
Ambos Sexos	1700801001	Total Oceanía	0
Ambos Sexos	1700801002	Total Población	2.511
Ambos Sexos	1700801002	Nacidos en España	1.939
Ambos Sexos	1700801002	Nacidos en el Extranjero	572
Ambos Sexos	1700801002	Total Unión Europea	54
Ambos Sexos	1700801002	Alemania	1
Ambos Sexos	1700801002	Bulgaria	2
Ambos Sexos	1700801002	Francia	5
Ambos Sexos	1700801002	Italia	1
Ambos Sexos	1700801002	Polonia	1
Ambos Sexos	1700801002	Portugal	33
Ambos Sexos	1700801002	Reino Unido	5
Ambos Sexos	1700801002	Rumanía	5
Ambos Sexos	1700801002	Total Europa No Comunitaria	64
Ambos Sexos	1700801002	Rusia	10
Ambos Sexos	1700801002	Ucrania	52
Ambos Sexos	1700801002	Total África	161
Ambos Sexos	1700801002	Argelia	1
Ambos Sexos	1700801002	Marruecos	154
Ambos Sexos	1700801002	Nigeria	0
Ambos Sexos	1700801002	Senegal	0
Ambos Sexos	1700801002	Total América	93
Ambos Sexos	1700801002	Argentina	9
Ambos Sexos	1700801002	Bolivia	8
Ambos Sexos	1700801002	Brasil	3
Ambos Sexos	1700801002	Colombia	10
Ambos Sexos	1700801002	Cuba	5
Ambos Sexos	1700801002	Chile	1
Ambos Sexos	1700801002	Ecuador	3
Ambos Sexos	1700801002	Paraguay	1
Ambos Sexos	1700801002	Perú	11
Ambos Sexos	1700801002	República Dominicana	2
Ambos Sexos	1700801002	Uruguay	2
Ambos Sexos	1700801002	Venezuela	7
Ambos Sexos	1700801002	Total Asia	200
Ambos Sexos	1700801002	China	2
Ambos Sexos	1700801002	Pakistán	5
Ambos Sexos	1700801002	Total Oceanía	0
Ambos Sexos	1700801003	Total Población	1.635
Ambos Sexos	1700801003	Nacidos en España	1.416
Ambos Sexos	1700801003	Nacidos en el Extranjero	219
Ambos Sexos	1700801003	Total Unión Europea	37
Ambos Sexos	1700801003	Alemania	0
Ambos Sexos	1700801003	Bulgaria	0
Ambos Sexos	1700801003	Francia	1
Ambos Sexos	1700801003	Italia	0
Ambos Sexos	1700801003	Polonia	2
Ambos Sexos	1700801003	Portugal	23
Ambos Sexos	1700801003	Reino Unido	1
Ambos Sexos	1700801003	Rumanía	6
Ambos Sexos	1700801003	Total Europa No Comunitaria	27
Ambos Sexos	1700801003	Rusia	10
Ambos Sexos	1700801003	Ucrania	17
Ambos Sexos	1700801003	Total África	53
Ambos Sexos	1700801003	Argelia	0
Ambos Sexos	1700801003	Marruecos	51
Ambos Sexos	1700801003	Nigeria	0
Ambos Sexos	1700801003	Senegal	0
Ambos Sexos	1700801003	Total América	42
Ambos Sexos	1700801003	Argentina	3
Ambos Sexos	1700801003	Bolivia	1
Ambos Sexos	1700801003	Brasil	2
Ambos Sexos	1700801003	Colombia	7
Ambos Sexos	1700801003	Cuba	0
Ambos Sexos	1700801003	Chile	1
Ambos Sexos	1700801003	Ecuador	1
Ambos Sexos	1700801003	Paraguay	0
Ambos Sexos	1700801003	Perú	1
Ambos Sexos	1700801003	República Dominicana	1
Ambos Sexos	1700801003	Uruguay	1
Ambos Sexos	1700801003	Venezuela	8
Ambos Sexos	1700801003	Total Asia	60
Ambos Sexos	1700801003	China	11
Ambos Sexos	1700801003	Pakistán	0
Ambos Sexos	1700801003	Total Oceanía	0
Ambos Sexos	1700901001	Total Población	2.757
Ambos Sexos	1700901001	Nacidos en España	1.971
Ambos Sexos	1700901001	Nacidos en el Extranjero	786
Ambos Sexos	1700901001	Total Unión Europea	162
Ambos Sexos	1700901001	Alemania	1
Ambos Sexos	1700901001	Bulgaria	1
Ambos Sexos	1700901001	Francia	5
Ambos Sexos	1700901001	Italia	3
Ambos Sexos	1700901001	Polonia	11
Ambos Sexos	1700901001	Portugal	36
Ambos Sexos	1700901001	Reino Unido	3
Ambos Sexos	1700901001	Rumanía	101
Ambos Sexos	1700901001	Total Europa No Comunitaria	12
Ambos Sexos	1700901001	Rusia	0
Ambos Sexos	1700901001	Ucrania	11
Ambos Sexos	1700901001	Total África	386
Ambos Sexos	1700901001	Argelia	2
Ambos Sexos	1700901001	Marruecos	323
Ambos Sexos	1700901001	Nigeria	0
Ambos Sexos	1700901001	Senegal	28
Ambos Sexos	1700901001	Total América	73
Ambos Sexos	1700901001	Argentina	44
Ambos Sexos	1700901001	Bolivia	6
Ambos Sexos	1700901001	Brasil	1
Ambos Sexos	1700901001	Colombia	3
Ambos Sexos	1700901001	Cuba	1
Ambos Sexos	1700901001	Chile	1
Ambos Sexos	1700901001	Ecuador	1
Ambos Sexos	1700901001	Paraguay	0
Ambos Sexos	1700901001	Perú	3
Ambos Sexos	1700901001	República Dominicana	2
Ambos Sexos	1700901001	Uruguay	0
Ambos Sexos	1700901001	Venezuela	2
Ambos Sexos	1700901001	Total Asia	153
Ambos Sexos	1700901001	China	10
Ambos Sexos	1700901001	Pakistán	4
Ambos Sexos	1700901001	Total Oceanía	0
Ambos Sexos	1700901002	Total Población	2.477
Ambos Sexos	1700901002	Nacidos en España	1.873
Ambos Sexos	1700901002	Nacidos en el Extranjero	604
Ambos Sexos	1700901002	Total Unión Europea	150
Ambos Sexos	1700901002	Alemania	0
Ambos Sexos	1700901002	Bulgaria	3
Ambos Sexos	1700901002	Francia	5
Ambos Sexos	1700901002	Italia	2
Ambos Sexos	1700901002	Polonia	8
Ambos Sexos	1700901002	Portugal	7
Ambos Sexos	1700901002	Reino Unido	3
Ambos Sexos	1700901002	Rumanía	121
Ambos Sexos	1700901002	Total Europa No Comunitaria	25
Ambos Sexos	1700901002	Rusia	3
Ambos Sexos	1700901002	Ucrania	15
Ambos Sexos	1700901002	Total África	294
Ambos Sexos	1700901002	Argelia	1
Ambos Sexos	1700901002	Marruecos	246
Ambos Sexos	1700901002	Nigeria	0
Ambos Sexos	1700901002	Senegal	32
Ambos Sexos	1700901002	Total América	67
Ambos Sexos	1700901002	Argentina	17
Ambos Sexos	1700901002	Bolivia	3
Ambos Sexos	1700901002	Brasil	2
Ambos Sexos	1700901002	Colombia	3
Ambos Sexos	1700901002	Cuba	1
Ambos Sexos	1700901002	Chile	7
Ambos Sexos	1700901002	Ecuador	2
Ambos Sexos	1700901002	Paraguay	0
Ambos Sexos	1700901002	Perú	9
Ambos Sexos	1700901002	República Dominicana	3
Ambos Sexos	1700901002	Uruguay	2
Ambos Sexos	1700901002	Venezuela	1
Ambos Sexos	1700901002	Total Asia	68
Ambos Sexos	1700901002	China	2
Ambos Sexos	1700901002	Pakistán	8
Ambos Sexos	1700901002	Total Oceanía	0
Ambos Sexos	1700902001	Total Población	1.322
Ambos Sexos	1700902001	Nacidos en España	1.175
Ambos Sexos	1700902001	Nacidos en el Extranjero	147
Ambos Sexos	1700902001	Total Unión Europea	68
Ambos Sexos	1700902001	Alemania	3
Ambos Sexos	1700902001	Bulgaria	0
Ambos Sexos	1700902001	Francia	6
Ambos Sexos	1700902001	Italia	2
Ambos Sexos	1700902001	Polonia	8
Ambos Sexos	1700902001	Portugal	7
Ambos Sexos	1700902001	Reino Unido	2
Ambos Sexos	1700902001	Rumanía	38
Ambos Sexos	1700902001	Total Europa No Comunitaria	14
Ambos Sexos	1700902001	Rusia	1
Ambos Sexos	1700902001	Ucrania	13
Ambos Sexos	1700902001	Total África	21
Ambos Sexos	1700902001	Argelia	0
Ambos Sexos	1700902001	Marruecos	15
Ambos Sexos	1700902001	Nigeria	0
Ambos Sexos	1700902001	Senegal	3
Ambos Sexos	1700902001	Total América	39
Ambos Sexos	1700902001	Argentina	18
Ambos Sexos	1700902001	Bolivia	0
Ambos Sexos	1700902001	Brasil	1
Ambos Sexos	1700902001	Colombia	7
Ambos Sexos	1700902001	Cuba	2
Ambos Sexos	1700902001	Chile	0
Ambos Sexos	1700902001	Ecuador	0
Ambos Sexos	1700902001	Paraguay	0
Ambos Sexos	1700902001	Perú	0
Ambos Sexos	1700902001	República Dominicana	3
Ambos Sexos	1700902001	Uruguay	2
Ambos Sexos	1700902001	Venezuela	1
Ambos Sexos	1700902001	Total Asia	4
Ambos Sexos	1700902001	China	3
Ambos Sexos	1700902001	Pakistán	0
Ambos Sexos	1700902001	Total Oceanía	1
Ambos Sexos	1701001001	Total Población	397
Ambos Sexos	1701001001	Nacidos en España	361
Ambos Sexos	1701001001	Nacidos en el Extranjero	36
Ambos Sexos	1701001001	Total Unión Europea	15
Ambos Sexos	1701001001	Alemania	4
Ambos Sexos	1701001001	Bulgaria	0
Ambos Sexos	1701001001	Francia	3
Ambos Sexos	1701001001	Italia	1
Ambos Sexos	1701001001	Polonia	0
Ambos Sexos	1701001001	Portugal	0
Ambos Sexos	1701001001	Reino Unido	3
Ambos Sexos	1701001001	Rumanía	0
Ambos Sexos	1701001001	Total Europa No Comunitaria	3
Ambos Sexos	1701001001	Rusia	1
Ambos Sexos	1701001001	Ucrania	1
Ambos Sexos	1701001001	Total África	2
Ambos Sexos	1701001001	Argelia	0
Ambos Sexos	1701001001	Marruecos	1
Ambos Sexos	1701001001	Nigeria	0
Ambos Sexos	1701001001	Senegal	0
Ambos Sexos	1701001001	Total América	13
Ambos Sexos	1701001001	Argentina	0
Ambos Sexos	1701001001	Bolivia	0
Ambos Sexos	1701001001	Brasil	3
Ambos Sexos	1701001001	Colombia	0
Ambos Sexos	1701001001	Cuba	1
Ambos Sexos	1701001001	Chile	0
Ambos Sexos	1701001001	Ecuador	0
Ambos Sexos	1701001001	Paraguay	0
Ambos Sexos	1701001001	Perú	0
Ambos Sexos	1701001001	República Dominicana	3
Ambos Sexos	1701001001	Uruguay	2
Ambos Sexos	1701001001	Venezuela	0
Ambos Sexos	1701001001	Total Asia	3
Ambos Sexos	1701001001	China	2
Ambos Sexos	1701001001	Pakistán	0
Ambos Sexos	1701001001	Total Oceanía	0
Ambos Sexos	1701101001	Total Población	930
Ambos Sexos	1701101001	Nacidos en España	792
Ambos Sexos	1701101001	Nacidos en el Extranjero	138
Ambos Sexos	1701101001	Total Unión Europea	44
Ambos Sexos	1701101001	Alemania	3
Ambos Sexos	1701101001	Bulgaria	0
Ambos Sexos	1701101001	Francia	5
Ambos Sexos	1701101001	Italia	2
Ambos Sexos	1701101001	Polonia	1
Ambos Sexos	1701101001	Portugal	0
Ambos Sexos	1701101001	Reino Unido	0
Ambos Sexos	1701101001	Rumanía	27
Ambos Sexos	1701101001	Total Europa No Comunitaria	4
Ambos Sexos	1701101001	Rusia	2
Ambos Sexos	1701101001	Ucrania	0
Ambos Sexos	1701101001	Total África	75
Ambos Sexos	1701101001	Argelia	0
Ambos Sexos	1701101001	Marruecos	41
Ambos Sexos	1701101001	Nigeria	0
Ambos Sexos	1701101001	Senegal	15
Ambos Sexos	1701101001	Total América	12
Ambos Sexos	1701101001	Argentina	4
Ambos Sexos	1701101001	Bolivia	1
Ambos Sexos	1701101001	Brasil	1
Ambos Sexos	1701101001	Colombia	1
Ambos Sexos	1701101001	Cuba	1
Ambos Sexos	1701101001	Chile	1
Ambos Sexos	1701101001	Ecuador	0
Ambos Sexos	1701101001	Paraguay	0
Ambos Sexos	1701101001	Perú	0
Ambos Sexos	1701101001	República Dominicana	0
Ambos Sexos	1701101001	Uruguay	0
Ambos Sexos	1701101001	Venezuela	1
Ambos Sexos	1701101001	Total Asia	3
Ambos Sexos	1701101001	China	1
Ambos Sexos	1701101001	Pakistán	0
Ambos Sexos	1701101001	Total Oceanía	0
Ambos Sexos	1701201001	Total Población	1.610
Ambos Sexos	1701201001	Nacidos en España	1.489
Ambos Sexos	1701201001	Nacidos en el Extranjero	121
Ambos Sexos	1701201001	Total Unión Europea	47
Ambos Sexos	1701201001	Alemania	5
Ambos Sexos	1701201001	Bulgaria	0
Ambos Sexos	1701201001	Francia	26
Ambos Sexos	1701201001	Italia	1
Ambos Sexos	1701201001	Polonia	1
Ambos Sexos	1701201001	Portugal	1
Ambos Sexos	1701201001	Reino Unido	5
Ambos Sexos	1701201001	Rumanía	4
Ambos Sexos	1701201001	Total Europa No Comunitaria	9
Ambos Sexos	1701201001	Rusia	6
Ambos Sexos	1701201001	Ucrania	2
Ambos Sexos	1701201001	Total África	10
Ambos Sexos	1701201001	Argelia	0
Ambos Sexos	1701201001	Marruecos	8
Ambos Sexos	1701201001	Nigeria	0
Ambos Sexos	1701201001	Senegal	1
Ambos Sexos	1701201001	Total América	54
Ambos Sexos	1701201001	Argentina	19
Ambos Sexos	1701201001	Bolivia	2
Ambos Sexos	1701201001	Brasil	3
Ambos Sexos	1701201001	Colombia	8
Ambos Sexos	1701201001	Cuba	6
Ambos Sexos	1701201001	Chile	0
Ambos Sexos	1701201001	Ecuador	2
Ambos Sexos	1701201001	Paraguay	0
Ambos Sexos	1701201001	Perú	0
Ambos Sexos	1701201001	República Dominicana	3
Ambos Sexos	1701201001	Uruguay	3
Ambos Sexos	1701201001	Venezuela	2
Ambos Sexos	1701201001	Total Asia	1
Ambos Sexos	1701201001	China	0
Ambos Sexos	1701201001	Pakistán	0
Ambos Sexos	1701201001	Total Oceanía	0
Ambos Sexos	1701301001	Total Población	1.857
